ファイター,ゲーム名,出展作品
マリオ,1,1
ドンキーコング,1,2
リンク,1,3
サムス,1,4
ダークサムス,5,4
ヨッシー,1,5
カービィ,1,6
フォックス,1,7
ピカチュウ,1,8
ルイージ,1,1
ネス,1,9
キャプテン・ファルコン,1,10
プリン,1,8
ピーチ,2,1
デイジー,5,1
クッパ,2,1
アイスクライマー,2,11
シーク,2,3
ゼルダ,2,3
ドクターマリオ,2,1
ピチュー,2,8
ファルコ,2,7
マルス,2,12
ルキナ,4,12
こどもリンク,2,3
ガノンドロフ,2,3
ミュウツー,2,8
ロイ,2,12
クロム,5,12
Mr.ゲーム&ウォッチ,3,13
メタナイト,3,6
ピット,3,14
ブラックピット,4,14
ゼロスーツサムス,3,4
ワリオ,3,15
スネーク,3,16
アイク,3,12
ゼニガメ(ポケモントレーナー),3,8
フシギソウ(ポケモントレーナー),3,8
リザードン(ポケモントレーナー),3,8
ディディコング,3,2
リュカ,3,9
ソニック,3,17
デデデ,3,6
ピクミン&オリマー,3,18
ルカリオ,3,8
ロボット,3,19
トゥーンリンク,3,3
ウルフ,3,7
むらびと,4,20
ロックマン,4,21
Wii Fit トレーナー,4,22
ロゼッタ&チコ,4,1
リトル・マック,4,23
ゲッコウガ,4,8
MIIファイター(格闘),4,24
MIIファイター(剣術),4,24
MIIファイター(射撃),4,24
パルテナ,4,14
パックマン,4,25
ルフレ,4,12
シュルク,4,26
クッパJr.,4,1
ダックハント,4,27
リュウ,4,28
ケン,5,28
クラウド,4,29
カムイ,4,12
ベヨネッタ,4,30
インクリング,5,31
リドリー,5,4
シモン,5,32
リヒター,5,32
キングクルール,5,2
しずえ,5,20
ガオガエン,5,8
パックンフラワー,5,1
ジョーカー,5,33
勇者,5,34
バンジョー&カズーイ,5,35
